ip,anonymityLevel,asn,country,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,isp,responseTime
"118.113.245.142","elite","AS4134","CN","282","Chinanet SC","2324","http","5002","53","9","17","2025-06-04T07:56:50.656Z","Chinanet","4193"
"222.68.42.88","elite","AS4812","CN","222","Chinanet SH","1080","http","5001","100","19","19","2025-06-04T07:55:45.752Z","China Telecom (Group)","68"
"91.103.120.48","elite","AS215355","HK","245","Alice Networks LTD","80","http","489","100","8","8","2025-06-04T07:54:23.315Z","Alice Networks LTD","155"
"47.91.65.23","elite","AS45102","DE","4","ALICLOUD-GM","3128","http","5001","100","21","21","2025-06-04T07:53:22.863Z","Alibaba.com LLC","98"
"114.91.25.59","elite","AS4812","CN","261","Chinanet SH","1080","http","5001","100","22","22","2025-06-04T07:52:18.179Z","China Telecom (Group)","1395"
"91.103.120.37","elite","AS215355","HK","241","Alice Networks LTD","80","http","485","100","19","19","2025-06-04T07:52:10.821Z","Alice Networks LTD","1981"
"188.245.239.104","elite","AS24940","DE","8","Hetzner","4001","http","3054","100","3","3","2025-06-04T07:50:43.918Z","Hetzner Online GmbH","2779"
"87.248.129.32","elite","AS216383","AE","83","N/A","80","http","5001","100","18","18","2025-06-04T07:50:30.247Z","ITEL","4812"
"123.30.154.171","elite","AS135905","VN","266","Vietnam Posts and Telecommunications Group","7777","http","6094","95","19","20","2025-06-04T07:50:15.816Z","VietNam Post and Telecom Corporation","66"
"118.113.244.150","elite","AS4134","CN","290","Chinanet SC","2324","http","5001","52","11","21","2025-06-04T07:50:06.737Z","Chinanet","4904"
"91.103.120.55","elite","AS215355","HK","244","Alice Networks LTD","80","http","785","100","8","8","2025-06-04T07:49:25.147Z","Alice Networks LTD","126"
"185.88.177.197","elite","AS201691","IR","79","N/A","8080","http","277","100","8","8","2025-06-04T07:46:30.933Z","Fannavari Etelaate Samane Kavoshgar Ide Ltd.","4920"
"94.249.220.135","elite","AS12586","DE","9","Funknetz Wolff Ehrhardt","49200","http","446","100","18","18","2025-06-04T07:46:16.107Z","GHOSTnet GmbH","723"
"154.65.39.7","elite","AS37649","GB","81","N/A","80","http","4360","100","19","19","2025-06-04T07:46:13.521Z","Tigo Public IP","531"
"98.188.47.132","elite","AS22773","US","168","Cox Communications","4145","socks4","5001","36","21","59","2025-06-04T07:46:06.569Z","Cox Communications Inc.","62"
"81.7.86.154","elite","AS8764","LT","26","Telia Lietuva, AB","4145","socks4","116","98","750","769","2025-06-04T07:46:00.972Z","Telia Lietuva, AB","3815"
"209.182.192.90","elite","AS22611","US","143","InMotion Hosting, Inc","53794","socks4","597","99","3131","3154","2025-06-04T07:45:58.615Z","InMotion Hosting, Inc.","43"
"192.252.220.92","elite","AS46562","US","153","Total Server Solutions L.L.C","17328","socks4","5003","94","478","510","2025-06-04T07:45:37.975Z","Performive LLC","5119"
"83.56.15.57","elite","AS3352","ES","34","RIMA (Red IP Multi Acceso)","5678","socks4","5002","100","234","235","2025-06-04T07:45:32.399Z","Telefonica de Espana SAU","3718"
"113.160.132.195","elite","AS45899","VN","218","Vietnam Posts and Telecommunications Group","8080","http","5001","100","20","20","2025-06-04T07:45:28.047Z","VietNam Post and Telecom Corporation","56"
"98.170.57.231","elite","AS22773","US","258","Cox Communications","4145","socks4","5001","97","169","174","2025-06-04T07:45:26.079Z","Cox Communications Inc.","4704"
"123.154.154.26","elite","AS4837","CN","208","N/A","8085","http","5001","88","7","8","2025-06-04T07:45:22.479Z","CNC Group CHINA169 Zhejiang Province Network","172"
"51.81.93.148","elite","AS16276","US","87","OVH US LLC","25129","socks4","5002","84","2609","3103","2025-06-04T07:44:51.053Z","OVH SAS","4893"
"85.215.64.49","elite","AS8560","DE","4","Strato GmbH","80","http","11","100","20","20","2025-06-04T07:44:50.299Z","IONOS SE","3474"
"80.249.112.166","elite","AS209638","IR","91","Parsian Technology Innovative Solution Co., PJS","80","http","4390","59","13","22","2025-06-04T07:44:49.941Z","Parsian Technology Innovative Solution Co., PJS.","36"
"65.49.68.84","elite","AS6939","US","154","Hurricane Electric","42571","socks4","5001","42","311","744","2025-06-04T07:44:43.813Z","Hurricane Electric LLC","46"
"78.128.124.108","elite","AS48584","BG","33","Sarnica-Net LTD","5678","socks4","150","88","7","8","2025-06-04T07:44:17.389Z","Sarnica-Net LTD","1281"
